Product Code,Product Description,Purchase/Usage Frequency,Date,Customer ID,State
22423,Payroll Account,1,12-01-2010 14:03,15165,Uttar Pradesh
22382,Long Term Loan,1,12-01-2010 14:11,16456,Uttar Pradesh
20727,Long Term Deposits,1,12-01-2010 14:11,16456,Uttar Pradesh
22383A,Medium Term Loan,1,12-01-2010 14:11,16456,Uttar Pradesh
22386,Debit Card,1,12-01-2010 14:11,16456,Uttar Pradesh
85099B,Short Term Deposits,1,12-01-2010 14:11,16456,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-01-2010 14:11,16456,Uttar Pradesh
22423,Payroll Account,1,12-01-2010 15:08,13468,Uttar Pradesh
22086,Vehicle Insurance,1,12-01-2010 15:35,16274,Uttar Pradesh
22457,Taxes,1,12-01-2010 15:35,14496,Uttar Pradesh
22469,Credit Card,1,12-01-2010 15:40,16539,Uttar Pradesh
85099B,Short Term Deposits,1,12-01-2010 16:01,13777,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-01-2010 16:01,13777,Uttar Pradesh
20727,Long Term Deposits,1,12-01-2010 16:11,13777,Uttar Pradesh
85099B,Short Term Deposits,1,12-01-2010 16:11,13777,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-01-2010 16:11,13777,Uttar Pradesh
20725,Funds,1,12-01-2010 16:13,13777,Uttar Pradesh
20727,Long Term Deposits,1,12-01-2010 16:16,13777,Uttar Pradesh
85099B,Short Term Deposits,1,12-01-2010 16:19,13777,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-01-2010 16:52,13065,Uttar Pradesh
22457,Taxes,1,12-01-2010 16:52,13065,Uttar Pradesh
22386,Debit Card,1,12-01-2010 16:57,14606,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-01-2010 17:22,15235,Uttar Pradesh
22086,Vehicle Insurance,1,12-01-2010 17:35,18011,Uttar Pradesh
22384,E Account,1,12-01-2010 17:35,18011,Uttar Pradesh
22197A,Flood Insurance,1,12-01-2010 17:35,18011,Uttar Pradesh
22727,Savings Account,1,12-02-2010 07:49,15694,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-02-2010 08:32,17850,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-02-2010 08:34,17850,Uttar Pradesh
22457,Taxes,1,12-02-2010 08:43,14741,Uttar Pradesh
22386,Debit Card,1,12-02-2010 09:29,17732,Uttar Pradesh
85099B,Short Term Deposits,1,12-02-2010 09:29,17732,Uttar Pradesh
84879,Guarantees,1,12-02-2010 09:29,17732,Uttar Pradesh
22423,Payroll Account,1,12-02-2010 09:29,17732,Uttar Pradesh
22457,Taxes,1,12-02-2010 09:29,17732,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-02-2010 09:29,17732,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-02-2010 09:41,17850,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-02-2010 09:44,17850,Uttar Pradesh
22197A,Flood Insurance,1,12-02-2010 10:17,17017,Uttar Pradesh
21212,Health Insurance,1,12-02-2010 10:27,14135,Uttar Pradesh
22727,Savings Account,1,12-02-2010 10:45,13418,Uttar Pradesh
21212,Health Insurance,1,12-02-2010 10:45,13418,Uttar Pradesh
22423,Payroll Account,1,12-02-2010 10:53,15658,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-02-2010 10:54,17850,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-02-2010 10:56,17850,Uttar Pradesh
85099B,Short Term Deposits,1,12-02-2010 11:02,14388,Uttar Pradesh
22386,Debit Card,1,12-02-2010 11:02,14388,Uttar Pradesh
22086,Vehicle Insurance,1,12-02-2010 11:20,14901,Uttar Pradesh
22457,Taxes,1,12-02-2010 11:21,18041,Uttar Pradesh
20727,Long Term Deposits,1,12-02-2010 11:21,18041,Uttar Pradesh
22086,Vehicle Insurance,1,12-02-2010 11:23,15070,Uttar Pradesh
21212,Health Insurance,1,12-02-2010 11:35,18041,Uttar Pradesh
22197A,Flood Insurance,1,12-02-2010 11:35,18041,Uttar Pradesh
22469,Credit Card,1,12-02-2010 11:41,16244,Uttar Pradesh
85099B,Short Term Deposits,1,12-02-2010 11:57,14390,Uttar Pradesh
85099B,Short Term Deposits,1,12-02-2010 11:57,14390,Uttar Pradesh
22423,Payroll Account,1,12-02-2010 12:09,15260,Uttar Pradesh
22086,Vehicle Insurance,1,12-02-2010 12:09,15260,Uttar Pradesh
22469,Credit Card,1,12-02-2010 12:09,15260,Uttar Pradesh
21034,Home Insurance,1,12-02-2010 12:16,15923,Uttar Pradesh
84879,Guarantees,1,12-02-2010 12:22,17287,Uttar Pradesh
22423,Payroll Account,1,12-02-2010 12:22,17287,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-02-2010 12:23,17850,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-02-2010 12:25,17850,Uttar Pradesh
22457,Taxes,1,12-02-2010 12:28,15363,Uttar Pradesh
22382,Long Term Loan,1,12-02-2010 12:28,15363,Uttar Pradesh
22423,Payroll Account,1,12-02-2010 12:33,12915,Uttar Pradesh
22423,Payroll Account,1,12-02-2010 12:47,15544,Uttar Pradesh
22086,Vehicle Insurance,1,12-02-2010 12:47,15544,Uttar Pradesh
21212,Health Insurance,1,12-02-2010 12:47,15544,Uttar Pradesh
22457,Taxes,1,12-02-2010 13:11,13117,Uttar Pradesh
84879,Guarantees,1,12-02-2010 13:11,13117,Uttar Pradesh
22086,Vehicle Insurance,1,12-02-2010 13:14,16916,Uttar Pradesh
22469,Credit Card,1,12-02-2010 13:14,16916,Uttar Pradesh
22423,Payroll Account,1,12-02-2010 13:36,14466,Uttar Pradesh
21034,Home Insurance,1,12-02-2010 13:49,17976,Uttar Pradesh
21212,Health Insurance,1,12-02-2010 13:49,17976,Uttar Pradesh
84879,Guarantees,1,12-02-2010 13:49,17976,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-02-2010 13:49,17976,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-02-2010 14:04,17850,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-02-2010 14:06,17850,Uttar Pradesh
22197A,Flood Insurance,1,12-02-2010 14:09,14449,Uttar Pradesh
22384,E Account,1,12-02-2010 14:09,14449,Uttar Pradesh
20727,Long Term Deposits,1,12-02-2010 14:09,14449,Uttar Pradesh
22383A,Medium Term Loan,1,12-02-2010 14:09,14449,Uttar Pradesh
22727,Savings Account,1,12-02-2010 14:40,16186,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-02-2010 14:42,17685,Uttar Pradesh
20725,Funds,1,12-02-2010 14:47,17581,Uttar Pradesh
21212,Health Insurance,1,12-02-2010 14:47,17581,Uttar Pradesh
22086,Vehicle Insurance,1,12-02-2010 14:47,17581,Uttar Pradesh
22384,E Account,1,12-02-2010 14:47,17581,Uttar Pradesh
20727,Long Term Deposits,1,12-02-2010 14:47,17581,Uttar Pradesh
22382,Long Term Loan,1,12-02-2010 14:47,17581,Uttar Pradesh
85099B,Short Term Deposits,1,12-02-2010 15:00,15732,Uttar Pradesh
22197A,Flood Insurance,1,12-02-2010 15:18,17567,Uttar Pradesh
22469,Credit Card,1,12-02-2010 15:18,17567,Uttar Pradesh
21212,Health Insurance,1,12-02-2010 15:19,15061,Uttar Pradesh
21212,Health Insurance,1,12-02-2010 15:20,15061,Uttar Pradesh
84879,Guarantees,1,12-02-2010 15:22,15061,Uttar Pradesh
22423,Payroll Account,1,12-02-2010 15:22,15061,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-02-2010 15:24,17850,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-02-2010 15:26,17850,Uttar Pradesh
22727,Savings Account,1,12-02-2010 15:39,16203,Uttar Pradesh
22727,Savings Account,1,12-02-2010 15:40,13767,Uttar Pradesh
22086,Vehicle Insurance,1,12-02-2010 15:40,15640,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-02-2010 15:40,15640,Uttar Pradesh
84879,Guarantees,1,12-02-2010 15:46,15574,Uttar Pradesh
84879,Guarantees,1,12-02-2010 15:46,15574,Uttar Pradesh
20728,Particular Plus Account,1,12-02-2010 15:46,15574,Uttar Pradesh
85099B,Short Term Deposits,1,12-02-2010 16:00,17228,Uttar Pradesh
22386,Debit Card,1,12-02-2010 16:00,17228,Uttar Pradesh
22727,Savings Account,1,12-02-2010 16:12,14829,Uttar Pradesh
22423,Payroll Account,1,12-02-2010 16:34,14031,Uttar Pradesh
84879,Guarantees,1,12-02-2010 16:34,14031,Uttar Pradesh
22423,Payroll Account,1,12-02-2010 16:46,17659,Uttar Pradesh
22086,Vehicle Insurance,1,12-02-2010 16:59,15646,Uttar Pradesh
21034,Home Insurance,1,12-02-2010 17:17,17757,Uttar Pradesh
22197A,Flood Insurance,1,12-02-2010 17:17,17757,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-02-2010 17:24,13798,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-02-2010 17:48,18239,Uttar Pradesh
22197A,Flood Insurance,1,12-02-2010 18:08,18168,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-02-2010 18:15,14395,Uttar Pradesh
84879,Guarantees,1,12-02-2010 18:25,15093,Uttar Pradesh
21212,Health Insurance,1,12-02-2010 18:27,12738,Karnataka
84879,Guarantees,1,12-02-2010 18:27,16150,Uttar Pradesh
22469,Credit Card,1,12-02-2010 18:27,16150,Uttar Pradesh
22384,E Account,1,12-02-2010 19:18,17961,Uttar Pradesh
20727,Long Term Deposits,1,12-02-2010 19:18,17961,Uttar Pradesh
20725,Funds,1,12-02-2010 19:18,17961,Uttar Pradesh
22469,Credit Card,1,12-02-2010 19:59,14573,Uttar Pradesh
22423,Payroll Account,1,12-02-2010 19:59,14573,Uttar Pradesh
21034,Home Insurance,1,12-02-2010 19:59,14573,Uttar Pradesh
20728,Particular Plus Account,1,12-02-2010 19:59,14573,Uttar Pradesh
22382,Long Term Loan,1,12-02-2010 19:59,14573,Uttar Pradesh
21034,Home Insurance,1,12-02-2010 19:59,14573,Uttar Pradesh
22727,Savings Account,1,12-03-2010 09:45,17396,Uttar Pradesh
22423,Payroll Account,1,12-03-2010 10:26,13370,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-03-2010 10:33,16883,Uttar Pradesh
22086,Vehicle Insurance,1,12-03-2010 10:43,12841,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-03-2010 10:43,12841,Uttar Pradesh
20727,Long Term Deposits,1,12-03-2010 11:19,17967,Uttar Pradesh
20725,Funds,1,12-03-2010 11:19,17967,Uttar Pradesh
22384,E Account,1,12-03-2010 11:19,17967,Uttar Pradesh
22382,Long Term Loan,1,12-03-2010 11:19,17967,Uttar Pradesh
20727,Long Term Deposits,1,12-03-2010 11:19,17967,Uttar Pradesh
22383A,Medium Term Loan,1,12-03-2010 11:19,17967,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-03-2010 11:19,17967,Uttar Pradesh
22384,E Account,1,12-03-2010 11:19,17967,Uttar Pradesh
22383A,Medium Term Loan,1,12-03-2010 11:19,17967,Uttar Pradesh
21034,Home Insurance,1,12-03-2010 11:35,16891,Uttar Pradesh
85099B,Short Term Deposits,1,12-03-2010 11:35,16891,Uttar Pradesh
22386,Debit Card,1,12-03-2010 12:05,14680,Uttar Pradesh
22469,Credit Card,1,12-03-2010 12:11,17884,Uttar Pradesh
22086,Vehicle Insurance,1,12-03-2010 12:11,17884,Uttar Pradesh
84879,Guarantees,1,12-03-2010 12:11,17884,Uttar Pradesh
22383A,Medium Term Loan,1,12-03-2010 12:20,12557,Maharashtra
22384,E Account,1,12-03-2010 12:20,12557,Maharashtra
20727,Long Term Deposits,1,12-03-2010 12:20,12557,Maharashtra
20725,Funds,1,12-03-2010 12:20,12557,Maharashtra
20728,Particular Plus Account,1,12-03-2010 12:20,12557,Maharashtra
22469,Credit Card,1,12-03-2010 12:24,14083,Uttar Pradesh
22086,Vehicle Insurance,1,12-03-2010 12:28,13013,Uttar Pradesh
84879,Guarantees,1,12-03-2010 12:28,13013,Uttar Pradesh
21212,Health Insurance,1,12-03-2010 12:28,13013,Uttar Pradesh
21212,Health Insurance,1,12-03-2010 12:29,13013,Uttar Pradesh
22423,Payroll Account,1,12-03-2010 12:29,13013,Uttar Pradesh
22423,Payroll Account,1,12-03-2010 12:43,14210,Uttar Pradesh
47566,Travel Insurance,1,12-03-2010 12:43,14210,Uttar Pradesh
22086,Vehicle Insurance,1,12-03-2010 12:48,16477,Uttar Pradesh
85099B,Short Term Deposits,1,12-03-2010 12:57,12600,Karnataka
22423,Payroll Account,1,12-03-2010 13:12,17949,Uttar Pradesh
22469,Credit Card,1,12-03-2010 13:43,17787,Uttar Pradesh
22457,Taxes,1,12-03-2010 13:43,17787,Uttar Pradesh
20725,Funds,1,12-03-2010 13:59,12682,Uttarakhand
22086,Vehicle Insurance,1,12-03-2010 14:04,14911,Madhya Pradesh
22423,Payroll Account,1,12-03-2010 14:04,14911,Madhya Pradesh
85123A,Recurrent Deposit Account,1,12-03-2010 14:18,14723,Uttar Pradesh
22423,Payroll Account,1,12-03-2010 14:26,17819,Uttar Pradesh
22423,Payroll Account,1,12-03-2010 14:40,15373,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-03-2010 14:54,17198,Uttar Pradesh
21034,Home Insurance,1,12-03-2010 14:54,17198,Uttar Pradesh
22086,Vehicle Insurance,1,12-03-2010 15:05,17238,Uttar Pradesh
22383A,Medium Term Loan,1,12-03-2010 15:14,12793,Rajasthan
20728,Particular Plus Account,1,12-03-2010 15:14,12793,Rajasthan
85123A,Recurrent Deposit Account,1,12-03-2010 15:19,14396,Uttar Pradesh
22457,Taxes,1,12-03-2010 16:02,16725,Uttar Pradesh
21212,Health Insurance,1,12-03-2010 16:35,12395,Tamil Nadu
85099B,Short Term Deposits,1,12-03-2010 16:35,12395,Tamil Nadu
22197A,Flood Insurance,1,12-03-2010 17:20,13081,Uttar Pradesh
84879,Guarantees,1,12-03-2010 17:28,15545,Uttar Pradesh
21034,Home Insurance,1,12-05-2010 10:03,17243,Uttar Pradesh
22086,Vehicle Insurance,1,12-05-2010 10:12,15465,Uttar Pradesh
22423,Payroll Account,1,12-05-2010 10:12,15465,Uttar Pradesh
22423,Payroll Account,1,12-05-2010 10:27,13089,Uttar Pradesh
22727,Savings Account,1,12-05-2010 10:36,16033,Uttar Pradesh
22423,Payroll Account,1,12-05-2010 10:45,13838,Uttar Pradesh
22469,Credit Card,1,12-05-2010 10:45,13838,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-05-2010 10:52,18055,Uttar Pradesh
22469,Credit Card,1,12-05-2010 10:54,15038,Uttar Pradesh
22469,Credit Card,1,12-05-2010 10:58,18109,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-05-2010 10:58,18109,Uttar Pradesh
22086,Vehicle Insurance,1,12-05-2010 11:02,13069,Uttar Pradesh
22383A,Medium Term Loan,1,12-05-2010 11:02,13069,Uttar Pradesh
20725,Funds,1,12-05-2010 11:02,13069,Uttar Pradesh
22086,Vehicle Insurance,1,12-05-2010 11:04,16241,Uttar Pradesh
22382,Long Term Loan,1,12-05-2010 11:10,14800,Uttar Pradesh
22383A,Medium Term Loan,1,12-05-2010 11:10,14800,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-05-2010 11:12,15708,Uttar Pradesh
22469,Credit Card,1,12-05-2010 11:12,15708,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-05-2010 11:12,15708,Uttar Pradesh
22727,Savings Account,1,12-05-2010 11:12,15708,Uttar Pradesh
22727,Savings Account,1,12-05-2010 11:12,15708,Uttar Pradesh
22727,Savings Account,1,12-05-2010 11:12,15708,Uttar Pradesh
22423,Payroll Account,1,12-05-2010 11:15,16839,Uttar Pradesh
22469,Credit Card,1,12-05-2010 11:40,16931,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-05-2010 11:40,16931,Uttar Pradesh
20728,Particular Plus Account,1,12-05-2010 11:40,16931,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-05-2010 11:40,16931,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-05-2010 11:45,16814,Uttar Pradesh
84879,Guarantees,1,12-05-2010 11:45,16814,Uttar Pradesh
22086,Vehicle Insurance,1,12-05-2010 11:49,15351,Uttar Pradesh
22383A,Medium Term Loan,1,12-05-2010 11:49,15351,Uttar Pradesh
22457,Taxes,1,12-05-2010 11:49,15351,Uttar Pradesh
22197A,Flood Insurance,1,12-05-2010 11:49,15351,Uttar Pradesh
22383A,Medium Term Loan,1,12-05-2010 11:49,15351,Uttar Pradesh
85099B,Short Term Deposits,1,12-05-2010 11:49,15351,Uttar Pradesh
22382,Long Term Loan,1,12-05-2010 11:49,15351,Uttar Pradesh
21034,Home Insurance,1,12-05-2010 11:54,14813,Uttar Pradesh
47566,Travel Insurance,1,12-05-2010 11:57,12567,Uttarakhand
22727,Savings Account,1,12-05-2010 11:57,12567,Uttarakhand
20725,Funds,1,12-05-2010 11:57,12567,Uttarakhand
20728,Particular Plus Account,1,12-05-2010 11:57,12567,Uttarakhand
22423,Payroll Account,1,12-05-2010 11:57,12567,Uttarakhand
22469,Credit Card,1,12-05-2010 11:59,17062,Uttar Pradesh
22382,Long Term Loan,1,12-05-2010 12:08,14810,Uttar Pradesh
22727,Savings Account,1,12-05-2010 12:08,14810,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-05-2010 12:13,18118,Uttar Pradesh
22086,Vehicle Insurance,1,12-05-2010 12:13,18118,Uttar Pradesh
21212,Health Insurance,1,12-05-2010 12:13,18118,Uttar Pradesh
21212,Health Insurance,1,12-05-2010 12:13,18118,Uttar Pradesh
22386,Debit Card,1,12-05-2010 12:13,18118,Uttar Pradesh
85099B,Short Term Deposits,1,12-05-2010 12:13,18118,Uttar Pradesh
22457,Taxes,1,12-05-2010 12:13,18118,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-05-2010 12:13,13831,Uttar Pradesh
22086,Vehicle Insurance,1,12-05-2010 12:15,12841,Uttar Pradesh
47566,Travel Insurance,1,12-05-2010 12:15,12841,Uttar Pradesh
22727,Savings Account,1,12-05-2010 12:23,17796,Uttar Pradesh
22086,Vehicle Insurance,1,12-05-2010 12:26,15716,Uttar Pradesh
84879,Guarantees,1,12-05-2010 12:26,15716,Uttar Pradesh
21034,Home Insurance,1,12-05-2010 12:26,15716,Uttar Pradesh
22197A,Flood Insurance,1,12-05-2010 12:29,18156,Uttar Pradesh
21034,Home Insurance,1,12-05-2010 12:29,18156,Uttar Pradesh
21034,Home Insurance,1,12-05-2010 12:34,16983,Uttar Pradesh
22423,Payroll Account,1,12-05-2010 12:35,17059,Uttar Pradesh
22457,Taxes,1,12-05-2010 12:35,17059,Uttar Pradesh
22384,E Account,1,12-05-2010 12:35,17059,Uttar Pradesh
20725,Funds,1,12-05-2010 12:35,17059,Uttar Pradesh
22383A,Medium Term Loan,1,12-05-2010 12:35,17059,Uttar Pradesh
22382,Long Term Loan,1,12-05-2010 12:35,17059,Uttar Pradesh
20728,Particular Plus Account,1,12-05-2010 12:35,17059,Uttar Pradesh
85099B,Short Term Deposits,1,12-05-2010 12:35,17059,Uttar Pradesh
22386,Debit Card,1,12-05-2010 12:35,17059,Uttar Pradesh
22086,Vehicle Insurance,1,12-05-2010 12:35,17059,Uttar Pradesh
21034,Home Insurance,1,12-05-2010 12:35,17059,Uttar Pradesh
21034,Home Insurance,1,12-05-2010 12:42,12748,Uttar Pradesh
22469,Credit Card,1,12-05-2010 12:43,16327,Uttar Pradesh
22457,Taxes,1,12-05-2010 12:43,16327,Uttar Pradesh
84879,Guarantees,1,12-05-2010 12:43,16327,Uttar Pradesh
20725,Funds,1,12-05-2010 12:43,16327,Uttar Pradesh
22383A,Medium Term Loan,1,12-05-2010 12:43,16327,Uttar Pradesh
20728,Particular Plus Account,1,12-05-2010 12:43,16327,Uttar Pradesh
20727,Long Term Deposits,1,12-05-2010 12:43,16327,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-05-2010 12:44,17211,Uttar Pradesh
22086,Vehicle Insurance,1,12-05-2010 12:44,17211,Uttar Pradesh
22423,Payroll Account,1,12-05-2010 12:47,17026,Uttar Pradesh
22086,Vehicle Insurance,1,12-05-2010 12:57,15570,Uttar Pradesh
22727,Savings Account,1,12-05-2010 12:57,15570,Uttar Pradesh
22727,Savings Account,1,12-05-2010 12:57,15570,Uttar Pradesh
47566,Travel Insurance,1,12-05-2010 12:57,12748,Uttar Pradesh
22469,Credit Card,1,12-05-2010 12:57,12748,Uttar Pradesh
22086,Vehicle Insurance,1,12-05-2010 13:00,15880,Uttar Pradesh
22469,Credit Card,1,12-05-2010 13:00,15880,Uttar Pradesh
22086,Vehicle Insurance,1,12-05-2010 13:00,15880,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-05-2010 13:00,15880,Uttar Pradesh
22197A,Flood Insurance,1,12-05-2010 13:00,15880,Uttar Pradesh
22086,Vehicle Insurance,1,12-05-2010 13:00,15880,Uttar Pradesh
85099B,Short Term Deposits,1,12-05-2010 13:00,15880,Uttar Pradesh
22727,Savings Account,1,12-05-2010 13:05,15808,Uttar Pradesh
22727,Savings Account,1,12-05-2010 13:05,15808,Uttar Pradesh
22727,Savings Account,1,12-05-2010 13:05,15808,Uttar Pradesh
22727,Savings Account,1,12-05-2010 13:05,15808,Uttar Pradesh
85099B,Short Term Deposits,1,12-05-2010 13:05,15808,Uttar Pradesh
